bucket,seed,arch,target,micro_f1,macro_f1,macro_balanced_accuracy,sentiment_mse_detected,n_overlap_aspects
bot25,137,bert-base-uncased,herath,0.2855094542521731,0.2442128428271051,0.5274557560123824,0.6928379632963342,9
bot25,137,bert-base-uncased,edurabsa,0.4155095872296212,0.33816131969263025,0.492777766359722,0.8593349047138361,7
bot25,137,distilbert-base-uncased,herath,0.308373260323979,0.2401760456180376,0.5038639735935629,0.931851004696827,9
bot25,137,distilbert-base-uncased,edurabsa,0.43164248649793496,0.3514358199681732,0.5167466626011116,0.8722871445230981,7
random_5k,42,bert-base-uncased,herath,0.507378640776699,0.32572341066881355,0.6014558442932283,0.46796672252176946,9
random_5k,42,bert-base-uncased,edurabsa,0.38467782851344495,0.2944713343995486,0.5507577507921015,0.573210107413717,7
random_5k,42,distilbert-base-uncased,herath,0.3483337824485763,0.27536046485192617,0.5764315837926342,0.36736234570438103,9
random_5k,42,distilbert-base-uncased,edurabsa,0.43880355699272433,0.2816334361954226,0.5494436954670572,0.6501598568503796,7
random_5k,17,bert-base-uncased,herath,0.29992854590925333,0.2706438854805699,0.5769475086260241,0.3452686092776245,9
random_5k,17,bert-base-uncased,edurabsa,0.500544306553451,0.3404663230664447,0.5455949724575044,0.6257608474310676,7
random_5k,17,distilbert-base-uncased,herath,0.3706099815157117,0.25246375163914647,0.5842651565241882,0.38149123719165895,9
random_5k,17,distilbert-base-uncased,edurabsa,0.4536764705882353,0.3436290540095258,0.5381730449874097,0.5398921141975996,7
random_5k,23,bert-base-uncased,herath,0.3716515163703644,0.2905465641858107,0.5859801383404465,0.4086349433415573,9
random_5k,23,bert-base-uncased,edurabsa,0.49031977376549923,0.32836102489567115,0.5606927742265503,0.48471119503540455,7
random_5k,23,distilbert-base-uncased,herath,0.4146109235696356,0.2754121280824186,0.5851919785574655,0.3861460036245101,9
random_5k,23,distilbert-base-uncased,edurabsa,0.4750117365882805,0.29928447747160203,0.5458811341819111,0.5878388733285088,7
random_5k,41,bert-base-uncased,herath,0.45554294362466896,0.2528236850899554,0.5883146470761473,0.3839739668383705,9
random_5k,41,bert-base-uncased,edurabsa,0.3953663306754927,0.28533368068227605,0.5374505599769243,0.5799463232731845,7
random_5k,41,distilbert-base-uncased,herath,0.44281345565749236,0.26382256321839836,0.5848943546672496,0.390238525967356,9
random_5k,41,distilbert-base-uncased,edurabsa,0.31587470269723195,0.2591329706629774,0.5448212882072626,0.6456799803074919,7
random_5k,53,bert-base-uncased,herath,0.18761421319796953,0.2134991427594922,0.5660158278049827,0.4081458061607774,9
random_5k,53,bert-base-uncased,edurabsa,0.4657411953756193,0.30748603484436143,0.5511366589463738,0.5225918584243013,7
random_5k,53,distilbert-base-uncased,herath,0.4099649521644407,0.2684206512909165,0.5847500828285782,0.34536662951414326,9
random_5k,53,distilbert-base-uncased,edurabsa,0.42456523718474004,0.2975448645369519,0.5411522314180905,0.6145731140848896,7
random_5k,89,bert-base-uncased,herath,0.30648820326678766,0.22499167605165996,0.5889920373587388,0.44090534912970775,9
random_5k,89,bert-base-uncased,edurabsa,0.4841067482576917,0.3390960302505444,0.5559696769554335,0.5371728016180727,7
random_5k,89,distilbert-base-uncased,herath,0.3150067048640741,0.23152844390465915,0.5791494321085835,0.5834116281298436,9
random_5k,89,distilbert-base-uncased,edurabsa,0.46876999557021215,0.29465877036962906,0.5452553956810571,0.4897683147927968,7
random_5k,101,bert-base-uncased,herath,0.40226136116547073,0.29070380487636455,0.5957620826126556,0.4059288768753391,9
random_5k,101,bert-base-uncased,edurabsa,0.4913977574253188,0.32903822541114564,0.5526999155482859,0.4893906077345564,7
random_5k,101,distilbert-base-uncased,herath,0.3888356492573071,0.2626571256267576,0.586020757911352,0.5334135986058613,9
random_5k,101,distilbert-base-uncased,edurabsa,0.39184569282066434,0.28802141584290497,0.5380694571544099,0.5188110025343468,7
random_5k,137,bert-base-uncased,herath,0.45086495788424963,0.30195626956404287,0.5735200802723999,0.4235223510381006,9
random_5k,137,bert-base-uncased,edurabsa,0.4213039356809325,0.3348378792397045,0.5516427273628154,0.4788100482661979,7
random_5k,137,distilbert-base-uncased,herath,0.26192458665397883,0.21127266886577548,0.564461372431122,0.38547398936281124,9
random_5k,137,distilbert-base-uncased,edurabsa,0.4537877260200309,0.34565560278399676,0.5432253946364066,0.47975102695938154,7
